ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.153.174.197","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","255","Tencent Cloud Computing","443","socks5","1018","1","2025-04-10T05:45:47.188Z","99","9351","9446"
"43.134.167.51","elite","AS132203","SG","Aceville Pte.ltd","308","N/A","443","socks5","3111","1","2025-04-10T05:44:40.767Z","87","8221","9452"
"117.250.0.12","elite","AS9829","IN","BSNL Internet","156","N/A","443","socks4","3100","1","2025-04-10T05:36:46.863Z","96","2084","2170"
"129.226.90.34","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","306","Aceville Pte.ltd","443","socks5","4691","1","2025-04-10T05:33:25.993Z","92","8725","9450"
"202.159.35.201","elite","AS9340","ID","PT IndoInternet","182","N/A","443","socks4","2697","1","2025-04-10T05:26:42.783Z","99","9336","9443"
"8.219.152.222","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","247","Alibaba.com Singapore E-Commerce Private Limited","443","socks4","1380","1","2025-04-10T05:24:12.289Z","80","7530","9361"
"128.199.175.145","elite","AS14061","SG","DigitalOcean, LLC","156","DigitalOcean, LLC","443","socks4","4600","1","2025-04-10T05:23:03.172Z","98","9236","9427"
"43.153.103.219","elite","AS132203","US","Aceville Pte.ltd","148","N/A","443","socks5","4291","1","2025-04-10T05:22:52.399Z","51","4809","9444"
"43.157.41.119","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","7","Tencent Cloud Computing","443","socks5","4710","1","2025-04-10T05:21:23.997Z","32","2987","9446"
"104.21.17.173","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","443","socks4","3992","1","2025-04-10T05:21:23.976Z","100","778","779"
"202.159.35.97","elite","AS9340","ID","PT IndoInternet","166","N/A","443","socks4","381","1","2025-04-10T05:19:59.579Z","99","9283","9404"
"43.153.52.178","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks5","4999","1","2025-04-10T05:18:36.169Z","82","7727","9460"
"43.153.81.153","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks5","449","1","2025-04-10T05:16:28.965Z","95","8953","9458"
"43.157.32.4","elite","AS132203","DE","Aceville Pte.ltd","11","N/A","443","socks4","2094","1","2025-04-10T05:13:43.203Z","32","3062","9507"
"202.159.35.25","elite","AS9340","ID","PT IndoInternet","172","N/A","443","socks4","1488","1","2025-04-10T05:12:01.300Z","98","9311","9475"
"173.254.109.45","elite","AS46606","US","Unified Layer","146","Unified Layer","443","socks4","2891","2","2025-04-10T05:05:39.868Z","100","703","703"
"43.134.167.223","elite","AS132203","SG","Aceville Pte.ltd","303","N/A","443","socks4","3178","1","2025-04-10T05:03:34.174Z","95","8938","9397"
"202.159.35.153","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","4305","1","2025-04-10T05:01:34.282Z","99","9334","9457"
